Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,UJJIVANSFB,EQ,39.3,40.0,40.0,39.5,39.65,39.6,39.69,949041,3766448670000.0005,3297,467867,0.493
2021-01-04,UJJIVANSFB,EQ,39.6,40.4,40.45,39.8,40.05,40.05,40.14,1730976,6948876309999.999,5851,970900,0.5609000000000001
2021-01-05,UJJIVANSFB,EQ,40.05,39.6,40.0,39.4,39.85,39.85,39.77,947909,3769766090000.0,3481,510236,0.5383
2021-01-06,UJJIVANSFB,EQ,39.85,40.0,40.3,39.6,39.65,39.7,39.89,1253254,4999522715000.0,4709,703759,0.5615
2021-01-07,UJJIVANSFB,EQ,39.7,40.0,44.6,39.8,43.0,43.0,42.85,17359607,74390234765000.0,40873,4858572,0.2799
2021-01-08,UJJIVANSFB,EQ,43.0,44.0,44.1,42.1,42.45,42.6,43.27,6112838,26451164915000.0,18485,2713738,0.4439
2021-01-11,UJJIVANSFB,EQ,42.6,43.05,43.4,41.3,41.8,41.8,42.21,2520889,10640337260000.0,13477,1227219,0.4868
2021-01-12,UJJIVANSFB,EQ,41.8,41.5,43.2,40.45,42.35,42.45,42.44,2912901,12362144110000.0,11559,1100793,0.3779
2021-01-13,UJJIVANSFB,EQ,42.45,42.5,43.15,41.4,41.65,41.75,42.21,1811776,7647131515000.001,6535,890775,0.4917
2021-01-14,UJJIVANSFB,EQ,41.75,41.7,42.65,41.4,41.8,41.6,41.86,1552202,6497409260000.0,7061,677193,0.4363
2021-01-15,UJJIVANSFB,EQ,41.6,41.6,41.8,39.75,40.1,40.0,40.39,3007035,12145629390000.0,10716,1706350,0.5675
2021-01-18,UJJIVANSFB,EQ,40.0,40.4,40.4,38.5,38.6,38.6,39.03,1803715,7039666165000.001,7764,1058854,0.5870000000000001
2021-01-19,UJJIVANSFB,EQ,38.6,38.9,39.35,38.7,39.1,38.85,39.0,1869098,7289032900000.0,6241,1109479,0.5936
2021-01-20,UJJIVANSFB,EQ,38.85,39.1,39.3,38.35,38.8,38.75,38.88,1501026,5835566540000.0,7463,727958,0.485
2021-01-21,UJJIVANSFB,EQ,38.75,39.0,40.05,38.4,38.9,38.7,39.17,2086225,8172029740000.001,6204,928526,0.4451
2021-01-22,UJJIVANSFB,EQ,38.7,38.9,38.9,37.8,37.95,37.9,38.15,1533727,5850815220000.0,7351,916425,0.5975
2021-01-25,UJJIVANSFB,EQ,37.9,37.9,38.1,36.0,36.2,36.05,36.65,2457236,9006236195000.0,13388,1372532,0.5586
2021-01-27,UJJIVANSFB,EQ,36.05,36.05,36.4,35.0,35.7,35.6,35.84,1637776,5870374690000.0,6321,861745,0.5262
2021-01-28,UJJIVANSFB,EQ,35.6,35.5,37.4,35.25,36.5,36.4,36.63,3532769,12939819590000.0,12807,1307031,0.37
2021-01-29,UJJIVANSFB,EQ,36.4,37.1,37.95,35.5,35.8,35.7,36.13,2675042,9665000765000.0,9009,1256477,0.4697
